,선행종합지수(2020=100),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),〔순환변동치 전월차〕(p),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
2009.07,68.1,4.7,3.1,-0.3,-4.2,-1.2,3.4,0.02,0.1,5.4,0.5,72.2,0.6,2.8,0,-0.5,0.4,2.2,2.5,0.2,0.2,-0.7,-0.1,-1.1,0.1,-0.1
2009.08,68.4,2.5,4.2,0.4,-6.5,-1.4,4.2,0.1,0.2,5.8,0.4,72.4,0.3,2.8,0.5,-0.8,-0.7,1.6,0.7,0.3,0.1,0.4,0,1.2,0.3,-0.1
2009.09,68.8,1,3.5,-0.9,0.5,-0.3,6,0.02,0.3,6.2,0.4,72.8,0.6,2.9,0.6,-0.9,0.4,1.3,2.2,0,0.1,1.3,0,-2.7,0,0
2009.1,69.3,1.7,4.1,1.7,18.6,-1.3,3.6,0.08,0.5,6.8,0.6,73.1,0.4,0.9,0.3,-0.4,1.7,0.6,1.7,0.1,0.2,0.7,-0.1,4.3,0.1,0.1
2009.11,69.9,5.4,0.1,3.2,24.4,-1.2,0.1,-0.03,0.6,7.4,0.6,73.4,0.4,0.9,0.1,1.1,1.1,1.4,0.1,0.2,0.2,0.5,-0.1,0.2,0.1,0.1
2009.12,70.3,5.5,0.2,3.3,-0.4,-1.1,-0.3,-0.03,0.3,7.6,0.2,73.6,0.3,-0.2,0.2,-2.5,0.7,0.9,1.2,0,-0.2,0,-0.1,1.9,-0.1,0
2010.01,70.6,3.2,0.3,2.3,-5.4,-0.6,1.1,-0.03,0.1,7.5,-0.1,74,0.5,1.4,0.1,1.6,0.4,0.9,0.5,0.1,0.2,2.6,0,0.3,-0.1,0
2010.02,70.7,-6.9,2.6,0.9,-17.8,0.3,0.3,-0.03,-0.1,7.1,-0.4,74.5,0.7,1.1,0.6,0.1,2.3,0.6,2,0,0.5,3.6,0.1,3.1,0,0.1
2010.03,70.7,-8.1,1.7,0.7,-8.1,-0.3,0.4,-0.1,-0.3,6.6,-0.5,75.1,0.8,1.6,0.5,1.1,0.6,0.3,2.2,0.3,0.4,3.3,0,0.3,0.2,0
2010.04,70.7,-8.6,1.2,3.4,-10.9,-0.3,1,-0.13,-0.2,6,-0.6,75.5,0.5,1.2,0.5,-2.4,0.1,1.2,1.2,0.4,0.2,1.8,-0.1,1.1,0.4,-0.1
2010.05,71,-2.8,-0.2,3.8,8.7,-0.8,1,-0.12,0,5.7,-0.3,76,0.7,1.2,0.7,-0.3,-0.6,1,2.6,0.5,0.4,0.5,-0.1,3.7,0.5,-0.2
2010.06,71.2,-4.1,-0.1,2.8,1.2,-0.1,0.5,-0.02,0,5.2,-0.5,76.4,0.5,0.9,0.1,-0.4,0.5,0.8,1.3,0.2,0.1,0.6,0,2.2,0.3,-0.1
2010.07,71.3,-2.9,-0.7,0.4,6.7,0,0,-0.07,-0.1,4.7,-0.5,76.8,0.5,0.8,0.1,1.3,0.8,0.2,0.7,0.2,0.2,0.3,0,1.8,0.2,0
2010.08,71.4,-2.2,-0.8,1.3,-15.8,-0.8,2.2,-0.13,-0.2,4,-0.7,76.8,0,0.6,-0.7,-1.2,0.5,0.2,0.6,-0.1,-0.3,1.1,-0.1,-0.5,0,0.1
2010.09,71.4,-1.8,-0.4,0.7,3.9,-1.2,2.4,-0.26,-0.2,3.5,-0.5,76.7,-0.1,0.5,-0.6,-2.2,0.5,-0.1,-0.6,0,-0.4,1.2,0,-0.2,0,0
2010.1,71.3,-1,-1,-0.8,-20.2,-1.7,3,-0.28,-0.5,2.8,-0.7,76.6,-0.1,0.2,0,-3.3,0.1,-0.3,-1,0,-0.5,0.9,0,1.6,-0.1,0
2010.11,71.4,-0.6,-0.1,-1,5.1,-1.3,3,-0.11,-0.1,2.5,-0.3,76.8,0.3,0.3,0.1,-1.4,0.6,0.8,0.5,0.1,0,0.3,0,0.8,0,0
2010.12,71.5,0,-0.8,-1.4,-6.5,-1.5,3.3,-0.04,-0.1,2.2,-0.3,77.3,0.7,0.7,0.6,1.5,0.4,0.9,-0.1,0.3,0.3,0.3,0,1.5,0.2,0
2011.01,72,4.6,-0.1,2.5,10,-1.4,3.5,0.08,0.3,2.4,0.2,78.2,1.2,1.7,0.9,0.8,2.4,2.1,1.3,0.2,0.9,-0.4,0.1,5.6,-0.1,0.1
2011.02,72.3,4.6,-0.1,1,0.3,-1.1,1.3,0,0.1,2.5,0.1,78.2,0,0.3,0.2,-3.1,-0.7,0.2,0.9,0.3,-0.2,-0.3,0.2,1.5,0.2,0.2
2011.03,72.4,2.8,-0.7,0.4,3,-0.9,0,-0.1,0,2.4,-0.1,78.5,0.4,0.8,0.6,-0.9,0.1,0.6,0.6,0.2,0.1,0.3,0.2,3.9,0.3,0.2
2011.04,72.5,-2.5,0.5,-1.6,3.8,-1.1,1,-0.18,-0.2,2.2,-0.2,78.3,-0.3,-0.9,0,-1.6,-1.4,-1.2,0.2,0.3,-0.5,1.6,0.2,0.1,0.5,0.1
2011.05,72.5,-3.7,-0.6,0.7,2.1,-0.7,1.9,-0.24,-0.2,2.1,-0.1,78.9,0.8,0.6,0.5,2.2,1.5,0.1,0.6,0.3,0.4,2.1,0.1,3.6,0.4,0.1
2011.06,72.6,-2.8,-0.4,1,1.2,-0.8,1.1,-0.17,-0.1,2.1,0,79.2,0.4,0,0.1,1.1,0.7,-0.1,1.2,0.4,0.2,1.9,0.1,0.9,0.3,0.1
2011.07,72.7,-1.2,-1.8,1.5,-5.6,-0.3,0,-0.12,-0.1,2.1,0,79.5,0.4,0.8,0.5,-0.9,0,0.5,0,0.2,0.1,1.4,0.1,1.5,0.2,0.1
2011.08,72.7,-0.6,-1.7,0.1,10.4,-0.2,-4,-0.16,-0.1,2,-0.1,79.8,0.4,0.4,0.7,-0.7,0,0.3,1.8,0.2,0.2,1.3,0.1,0.7,0.1,0.1
2011.09,72.8,0.2,-0.8,-0.2,-1.9,-0.2,-4.7,-0.13,-0.2,1.8,-0.2,79.7,-0.1,0.3,0.1,-2.5,-0.1,0,-0.1,-0.3,-0.4,1.2,-0.1,1.8,-0.4,0
2011.1,72.8,-0.5,-1.2,-0.1,7.5,0,-5.6,-0.12,-0.2,1.6,-0.2,80.1,0.5,0.5,0.1,3,0.1,0.3,-0.3,0.2,0.2,1.6,0,-1.5,0.1,0
2011.11,72.8,-2.1,-0.7,-1.6,-7.5,-0.6,-0.2,-0.07,-0.2,1.5,-0.1,80,-0.1,-0.1,-0.2,-0.3,-0.4,-0.5,-0.3,0.1,-0.3,1.5,-0.1,-1.1,0,0
2011.12,72.9,-2.5,-2,-1.5,1.2,-0.4,1.3,-0.02,-0.1,1.4,-0.1,80.1,0.1,-1.1,-0.5,2.2,0.1,-0.7,-1.2,0.5,-0.1,1.4,0,-1.6,0.4,0
2012.01,73.1,-2.4,-1,1.5,4.8,-0.6,1.2,-0.04,0,1.5,0.1,80,-0.1,-0.3,-0.2,-4,1,0,-1,0.1,-0.4,-0.4,-0.1,0.4,0,0
2012.02,73.6,1.5,0.3,4,21.4,-0.4,2.6,0.01,0.5,2,0.5,80.4,0.5,1.2,0.6,-0.3,0.6,0.8,1.4,0.2,0.4,-0.5,-0.1,-0.2,0.1,0
2012.03,73.9,0.9,2,0.4,-3.5,-0.6,2.8,0.06,0.2,2.3,0.3,80.5,0.1,1,0.7,-3.5,-0.4,-0.2,-0.6,0.2,-0.2,-0.4,-0.4,0.3,0.2,0
2012.04,74.2,2.5,2.8,-1.3,-4.7,-0.1,1.8,0.05,0.1,2.6,0.3,80.7,0.2,0.3,0.4,0.6,-0.8,-0.2,1.4,0.2,0.1,0.5,-0.4,-1,0.4,0
2012.05,74.2,1,0.2,-4.2,-20.2,0.5,-1.9,-0.02,-0.3,2.4,-0.2,81,0.4,-0.4,-0.1,0.2,0.6,-0.2,1.8,0.2,0.1,0.4,-0.3,0.4,0.4,0
2012.06,74.5,3.1,-1.7,-1.2,7.5,1.5,-3,-0.1,0,2.6,0.2,81.1,0.1,-0.1,0.1,-1.7,0.7,0.5,-0.5,0.1,-0.1,-0.5,-0.1,1.2,0.2,0
2012.07,74.5,1.7,-4.3,-2.2,1.3,0.9,-3,-0.12,-0.2,2.5,-0.1,81.5,0.5,-0.3,0.4,1.6,0.8,0.2,1.6,0.1,0.3,-0.7,-0.1,2.2,0.1,-0.1
2012.08,74.5,-1,-3.5,-2,-3.2,0.1,0.6,-0.1,-0.3,2.4,-0.1,81.2,-0.4,-1.2,0.2,-1.4,-0.6,-1.2,-1.4,0,-0.7,0.5,0,-1.1,-0.1,-0.1
2012.09,74.5,0.5,-2.3,-2.5,-11.2,-0.9,2,-0.08,-0.3,2.2,-0.2,81.3,0.1,-0.1,0.3,2,0,-0.3,-0.9,0,-0.1,0.3,0,1,0,-0.1
2012.1,74.7,0.6,-1.5,-0.4,-8.9,-0.4,2,0,-0.1,2.2,0,81.3,0,0.5,-0.1,-0.2,-0.4,-0.3,-0.4,0.1,-0.3,0.8,0.1,-0.1,0,-0.1
2012.11,74.9,2.4,-1.3,-0.5,-2,0.4,-0.2,0.06,0.1,2.4,0.2,81.7,0.5,1.3,-0.3,2.7,0.7,1,0.2,0,0.2,0.5,0,1.7,0,-0.1
2012.12,75.3,0.5,-0.7,1.1,-3,0.6,0.2,0.11,0.1,2.6,0.2,82.1,0.5,0.6,-0.5,1.6,0.2,0.9,1.7,-0.1,0.2,2.2,0,0.5,-0.2,-0.1
2013.01,75.4,-1.3,1,-2.5,-6.6,0.3,0.8,0.02,-0.1,2.6,0,82.3,0.2,0.6,0.1,-0.1,0.1,0,1.1,0,-0.1,2.1,0.1,1,-0.1,0
2013.02,75.7,-2.4,1.9,-0.5,2.2,0.2,1.3,-0.01,0.1,2.7,0.1,82.4,0.1,-0.2,0.7,0.4,0,-0.3,0.4,0,0,0.4,0.1,1.4,-0.1,0
2013.03,75.9,-1.4,2.4,-1.4,3.6,0.6,0.3,-0.09,0,2.8,0.1,82.4,0,-0.6,0.5,-0.5,-0.5,-1.6,0.6,0.1,-0.4,-0.4,0.2,-0.7,0.1,0
2013.04,76.1,0,1.2,-0.6,4.6,0.5,-0.8,-0.07,0,3,0.2,82.6,0.2,-1,0.5,3.7,-0.1,-1,0.4,0.3,0,-1.1,0.1,0.6,0.4,0
2013.05,76.4,1.3,0.3,-0.7,-2.8,0.8,-0.1,0.02,0,3.1,0.1,82.8,0.2,-0.3,-0.1,1.8,0,-0.6,-0.5,0.4,-0.1,-0.4,0.1,0.1,0.5,0
2013.06,76.8,0.2,-0.7,2.3,-2.4,0.7,-1.8,0.21,0.1,3.3,0.2,83.2,0.5,0.2,0.3,1.8,0.4,0.8,0.4,0.3,0.3,-0.8,0,0.6,0.4,0
2013.07,77.2,-1.1,-0.8,0.6,3.9,0.3,-1.2,0.27,0.2,3.5,0.2,83.4,0.2,-0.2,-0.2,-0.3,0.7,0.6,0.1,0.1,-0.1,0.4,-0.1,-0.1,0.1,0
2013.08,77.5,2,-0.6,0.6,-2.8,-0.3,-1.4,0.21,0,3.7,0.2,83.7,0.4,0.4,0.2,-0.2,0.1,1.4,-0.8,0.1,0.1,0.8,-0.1,-0.2,0.1,0
2013.09,77.6,-2,-0.1,-2.2,6.5,-0.5,1.8,0.03,-0.1,3.7,0,83.8,0.1,-0.1,0.1,0.5,-0.1,-0.2,0.6,0.2,-0.1,1.8,-0.1,0.9,0.2,0
2013.1,78,-0.3,0.7,1.4,7.6,-0.3,2.7,-0.04,0.1,4,0.3,84.3,0.6,1,0.5,1,-0.4,1,1.2,0.3,0.3,1.4,0,1.4,0.3,0
2013.11,78.3,-2.5,0.8,0.4,7.3,0.1,1.9,-0.01,0,4.1,0.1,84.5,0.2,0,-0.1,1.9,0.2,-0.6,-0.2,0.4,0,1.5,-0.1,2.1,0.3,0
2013.12,78.6,1.8,0.5,1.8,2.3,-0.2,0.1,0.04,0.1,4.3,0.2,84.9,0.5,0.9,-0.1,-0.6,0.2,1.3,0.8,0.3,0.1,0.8,-0.1,0.3,0.1,0
2014.01,78.9,1.7,0.9,-1.6,-1,-0.1,-1.4,0.06,0,4.3,0,85.3,0.5,0.2,0.5,-0.1,1.3,-0.1,0.9,0.3,0.3,0,0,-2.1,0.3,0
2014.02,79.2,1.4,1.5,0,5.1,-0.2,-1.2,-0.02,0,4.3,0,85.5,0.2,0.3,0.6,-2,0,0,0.4,0.3,-0.1,-0.5,-0.1,1.9,0.3,0
2014.03,79.3,0.3,1,-1.1,-8.4,0.1,-0.6,-0.04,-0.2,4.2,-0.1,85.9,0.5,0.1,0.9,-1,0.1,-0.4,1.5,0.3,0.1,-0.1,0.1,2.3,0.3,0
2014.04,79.6,-1.1,0.6,0.5,3,-0.1,0.7,-0.03,0,4.2,0,85.9,0,-0.1,-0.1,0.3,-1.3,-0.4,1.2,0.2,-0.2,0.8,0.1,3.7,0.2,0
2014.05,79.7,-1.5,-0.6,-0.5,-6.2,0,1,-0.03,-0.1,4,-0.2,85.9,0,-0.7,-0.1,0.4,0.2,-0.2,-0.8,-0.1,-0.3,0.5,0.2,-1.8,-0.1,0
2014.06,80,-1.1,-1.2,0.2,11.8,0,0.7,-0.07,0,3.9,-0.1,86.1,0.2,-0.1,0.2,1.2,0.2,0.3,-0.2,0,0,-0.1,0,-0.9,0.1,0
2014.07,80.1,0.7,-2.3,0.7,-1.9,0.2,0.5,-0.13,-0.1,3.7,-0.2,86.3,0.2,0.3,0.6,-1.7,0.9,0.4,-0.2,0.1,0,0.1,0,0.3,0,0
2014.08,80.5,0,-1,-0.3,16.2,0.7,1.1,-0.05,0.1,3.8,0.1,86.6,0.3,0,0.6,-0.2,0.6,-0.2,-0.2,0.4,0.1,0.2,0,2.5,0.3,-0.1
2014.09,80.8,0.8,1,-0.1,3.3,0.9,0.8,-0.02,0.1,3.8,0,86.7,0.1,-0.8,0.1,-1.4,-0.2,-1,2.1,0.2,-0.3,0.5,0,3.4,0.2,-0.1
2014.1,81.1,-0.5,0.1,-0.5,1.2,1.2,-1.3,0.03,0,3.8,0,86.6,-0.1,-1.3,0.4,-0.3,-0.6,-1.2,0.8,0.1,-0.4,0,0,0.7,0.1,-0.1
2014.11,81.4,2.1,-0.1,1.6,-16.5,1.7,-1.7,-0.03,0.1,3.8,0,86.7,0.1,-0.2,0.1,-0.7,-0.6,0,1.2,0,-0.3,-0.1,0,0.1,0,-0.1
2014.12,81.7,2.1,-1.3,-0.4,-6.8,2.2,-1.7,-0.02,0,3.9,0.1,87.2,0.6,0.8,-0.1,0,1.4,0.7,2.6,0.1,0.3,-1.1,0,-1.5,0,0
2015.01,82.1,1.7,0.8,-1.4,14.3,2.8,-0.4,-0.06,0.3,4.1,0.2,87.5,0.3,0.1,-0.1,1,0.7,0,0.8,0.2,0,-0.9,0,1.1,0.1,0
2015.02,82.5,-0.8,1.8,-0.9,6.9,1.6,0,-0.07,0.1,4.2,0.1,88,0.6,0.6,0.2,2.1,1.4,0.6,0.3,0.2,0.3,0,0,3,0.1,0
2015.03,82.9,-2,1.5,-0.2,24.2,0.8,1.2,-0.07,0.1,4.4,0.2,88.1,0.1,-0.5,0.9,-0.3,-0.5,-0.9,-0.3,0.1,-0.3,1,0,1.4,0.1,-0.1
2015.04,83.3,-0.6,1.7,2.3,-3.2,-0.1,3.2,-0.01,0.1,4.5,0.1,88.3,0.2,0.4,0.4,-0.9,0.8,0.7,-1.4,0,-0.1,1.3,0,-0.4,0,-0.1
2015.05,83.7,-0.2,-0.3,-1.2,18.7,0.3,2.5,0.08,0.2,4.7,0.2,88,-0.3,-0.9,0,-1.2,-0.3,-0.6,-0.8,0,-0.6,0.7,0,-1.7,-0.1,-0.1
2015.06,83.9,-1.4,-3.1,0.7,-5.6,0.4,0.8,0.11,-0.2,4.7,0,88.2,0.2,0,-0.1,2.1,-0.6,0.7,-0.3,0.1,-0.1,1.5,0,-0.4,0,-0.1
2015.07,84.2,-1.2,-2.6,-0.7,-0.2,0.4,-0.8,0.15,-0.1,4.6,-0.1,88.5,0.3,-0.4,0.2,1.2,-0.5,0.1,1.4,0.2,-0.1,1,0.1,0.4,0.1,-0.1
2015.08,84.4,-0.7,-1.7,3.1,-7,0.9,-2.6,0.03,-0.1,4.6,0,89.2,0.8,1.1,0.5,2.2,-0.2,2,1.6,0.2,0.5,1.7,0.1,2.3,0.1,-0.1
2015.09,84.9,1.6,1.6,0.6,28.5,0.6,-2,-0.03,0.2,4.8,0.2,90,0.9,1,0.5,3.3,1.4,1.3,1.3,0.2,0.6,0.7,0.1,0.2,0.2,0
2015.1,85.1,1.9,0.6,-0.2,2.7,0,-0.6,-0.09,-0.1,4.7,-0.1,90.7,0.8,1,0.3,1.3,1.6,0.8,1,0.2,0.5,0.3,0,2,0.1,0
2015.11,85.4,0.2,0,-2,5.3,-0.1,0.9,0,-0.1,4.6,-0.1,90.8,0.1,-0.2,0,-0.4,0.9,-0.5,-0.4,0.1,-0.2,-0.6,0,-1.9,0.1,0
2015.12,85.4,-1.2,-0.9,-1.6,-27.3,0.4,0.5,0.02,-0.3,4.1,-0.5,90.9,0.1,-0.9,0.5,0.1,0.8,-0.3,-0.8,0.2,-0.1,-1,0.1,1.9,0.2,0.1
2016.01,85.5,-3,-1.1,-3.8,2.1,1.3,-2.1,-0.01,-0.3,3.8,-0.3,90.8,-0.1,-0.6,-0.1,1,0,-0.6,-1.6,0.1,-0.3,0.3,0.1,0.2,0.1,0
2016.02,85.5,-1.8,-1.5,-2.7,1,0.8,-1.8,-0.12,-0.4,3.4,-0.4,91,0.2,0.2,0.3,1.5,0,-0.5,-0.5,0,-0.1,1.1,0.1,0.7,0.1,0
2016.03,85.8,0.3,0.1,0.1,12.8,-0.1,0.1,-0.1,0,3.4,0,91,0,0.7,-0.1,0.5,0.1,0.1,-0.9,-0.2,-0.2,1.7,0.1,-1.6,-0.2,-0.1
2016.04,86.1,1.6,1.1,1.8,2.1,-1.1,1.8,-0.07,0.1,3.3,-0.1,91.2,0.2,0.2,0.4,1,-0.1,0.2,-0.8,-0.1,-0.1,0,0,-0.4,-0.1,0
2016.05,86.5,3,0.9,3.1,-8,-1.2,1.1,-0.01,0,3.3,0,91.7,0.5,0.6,0.1,1.8,1,0.5,1.3,0.1,0.3,-0.4,0,1.3,0,0
