,선행종합지수(2020=100),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),〔순환변동치 전월차〕(p),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
2016.06,86.7,2.2,0.2,1.2,-4.9,-0.9,0,0,0,3.3,0,92.1,0.4,0.4,0.5,1.9,0.5,0.1,0.2,0.3,0.3,-1.1,0,2,0.1,0
2016.07,87.1,2.4,-0.3,1.5,7,-0.3,0.1,-0.02,0.1,3.4,0.1,92.6,0.5,0.6,0.4,2.2,-0.1,0.4,0.1,0.3,0.2,-0.6,0,-2,0.2,-0.1
2016.08,87.5,0.2,1,0.6,13.2,0,1.2,-0.01,0.1,3.5,0.1,93,0.4,-0.6,0.4,2.1,-0.1,0.1,1,0.3,0.2,-0.8,-0.1,-0.2,0.3,-0.1
2016.09,87.9,-0.1,0.9,1.1,3.8,0.4,1.1,-0.01,0.2,3.7,0.2,93,0,-0.5,0.3,0.8,-1.3,0.4,-0.2,0.1,-0.2,-0.2,-0.1,-0.3,0.1,0
2016.1,88.3,-1,0.1,2,2.2,-0.1,0.5,0.05,0.1,3.8,0.1,93.1,0.1,-0.6,-0.2,1.3,0.8,-0.3,-0.7,0.1,-0.2,-0.3,0,2.7,0.1,0
2016.11,88.6,1.6,-0.8,1.9,-6.8,0.3,-0.9,0.16,0.1,4,0.2,93.6,0.5,1.3,-0.4,2.1,0,1.4,1.6,0,0.3,-0.2,0,0.7,0,0
2016.12,89.1,2.2,-1.1,3.4,-3.1,-0.3,-0.3,0.18,0.2,4.3,0.3,94,0.4,0.8,-0.1,1.3,1.4,0.8,-1.1,0.2,0.2,-1.3,-0.1,0.4,0.2,0
2017.01,89.5,3.5,0,1.4,-11.4,-0.2,0.4,0.13,0.1,4.4,0.1,94.6,0.6,2.1,0.4,0.5,-0.2,1.7,0.6,0.1,0.4,-1.1,0.1,0.2,0.1,0.1
2017.02,89.9,1.6,0.8,0.2,15,-0.4,1.7,0.04,0.2,4.6,0.2,94.9,0.3,0,0.3,0.4,0.5,-1.1,1.6,0.2,0.1,-0.6,0,0.5,0.1,0
2017.03,90.3,0.4,2,-0.4,-6.9,0.1,1.9,0.01,0.1,4.7,0.1,95.3,0.4,1,0.2,2,-0.4,-0.4,1.7,0.1,0.2,0.7,0,1.8,0.1,0
2017.04,90.7,-1.8,1.3,0.8,12.3,0.6,1.6,0.02,0.1,4.9,0.2,95.5,0.2,-0.7,0.1,1.8,0.3,-0.9,1.5,0.2,0,1,0,1.4,0.1,0
2017.05,91.1,-3.2,1,1.7,-13,0.5,3.4,0.02,0.1,5,0.1,95.9,0.4,0.2,0.4,0.5,-0.3,0.6,2,0.1,0.2,1.6,-0.1,-0.4,0,0
2017.06,91.5,-2.1,-0.1,2.2,7.6,0.5,3.6,-0.02,0.2,5.1,0.1,96.1,0.2,-1,0.2,-0.8,0.5,0.2,2.3,0,0,0.6,-0.1,0.3,0,0
2017.07,91.8,-1.2,-0.2,0.4,-14.4,0.6,3.7,0.02,0,5.1,0,96.3,0.2,-0.1,0.3,0.5,0,0.6,-1.2,0.1,-0.1,0.1,-0.1,2.5,0.1,0
2017.08,92.2,0.5,-0.2,-0.1,6.2,0.2,1,0.03,0.1,5.1,0,96.5,0.2,-0.3,0.4,-0.1,-0.1,0.6,1.3,0,0.1,-0.3,0,4.1,0,0
2017.09,92.4,0.3,-0.3,-2.9,0.7,-0.3,0,0.04,-0.1,4.8,-0.3,96.9,0.4,0.4,0.5,1.1,0.4,0.4,-0.7,0.1,0.1,0.4,0,0.7,0.1,0
2017.1,92.7,-0.4,1,-2,6.2,-0.6,1,0.1,0.1,4.7,-0.1,97,0.1,0.2,0.1,0.1,0.3,0.5,-0.8,0,-0.1,1.2,0,-2.4,0.1,0
2017.11,92.9,-1.6,0.6,-2.3,-8.2,-0.7,2.2,0.11,-0.1,4.5,-0.2,97.4,0.4,0.4,-0.2,-0.3,1.7,0.2,0.3,0.1,0.2,0.7,0,-1.3,0.1,0
2017.12,93,-5.1,0.9,-0.7,3,-0.7,1.3,0.02,-0.2,4.2,-0.3,97.2,-0.2,-0.6,-0.3,-0.8,0.1,-1.1,-0.2,0,-0.4,1.2,0,0.7,0.1,0.1
2018.01,93.3,-3.1,-0.9,2.3,16.6,-1.1,0.5,-0.02,0,4,-0.2,97.5,0.3,0.1,0.3,1.6,1,-0.7,0.5,0.1,0.1,0.5,-0.2,3.1,0.2,0.1
2018.02,93.5,-2.1,-0.3,1.8,3.6,-0.3,-1.3,-0.02,0,3.8,-0.2,97.8,0.3,0.1,0.5,0.4,0.1,-0.6,1.6,-0.1,0,0.4,0,1.9,-0.1,0
2018.03,93.8,-0.1,-1.3,0.4,-1,-0.8,-0.2,0.07,-0.1,3.7,-0.1,98,0.2,0.5,0.3,-1.4,1.2,-0.4,0,0,0,0.6,0,0.7,-0.1,0
2018.04,93.8,0.3,0.1,-1.1,-20.6,-0.7,-0.8,0.01,-0.2,3.3,-0.4,98.1,0.1,0.5,0.4,-2.3,0.5,0,0.1,-0.1,-0.1,0.9,0.1,-0.1,-0.1,0
2018.05,94.1,2.8,0.3,0.7,5.2,-1.3,0.3,-0.01,0,3.2,-0.1,98.2,0.1,0.6,0,-0.7,-0.2,0.5,0.3,0,-0.1,0.4,0.1,-0.3,0,0
2018.06,94.3,2,0.8,-0.3,-4.6,-0.8,-0.8,-0.02,0,3.1,-0.1,98.5,0.3,1,0.3,0.1,-0.4,1.3,-0.8,-0.1,0,0.2,0,1.7,0,0
2018.07,94.5,0.9,-1.4,-0.6,7.9,-0.1,-2.4,-0.04,-0.1,3,-0.1,98.6,0.1,0.2,0.2,-0.7,0,0.2,0.3,-0.1,-0.1,-0.4,-0.1,1,-0.1,0
2018.08,94.5,-0.7,-1.8,-3.1,-12.2,0.3,-2.5,-0.1,-0.4,2.5,-0.5,98.6,0,0.1,0.1,-0.5,0.2,0.4,-0.4,-0.1,-0.1,0.4,-0.1,-0.6,-0.1,0
2018.09,94.6,0.5,-0.4,-2.8,4.3,-0.1,-1.3,-0.12,-0.2,2.3,-0.2,98.5,-0.1,-0.4,0.2,-1.3,-0.5,-0.1,-1.5,0,-0.4,-0.2,-0.1,-1.9,0,0
2018.1,94.6,0.9,-0.1,-2.6,-4.4,-0.7,-1.9,-0.07,-0.2,2.1,-0.2,98.5,0,0.1,0.3,-1.9,-0.2,0.5,-0.2,0.1,-0.2,0.8,0,3.2,0.1,0
2018.11,94.6,-1.9,-0.8,-1.6,4.8,-0.3,-3,-0.07,-0.3,1.8,-0.3,98.5,0,-0.7,-0.2,-2.6,0.2,-0.5,1.5,0.3,-0.1,1.1,0.1,0.7,0.3,0
2018.12,94.7,-0.6,-1.6,-1.2,3.4,0.5,-3.6,-0.16,-0.2,1.6,-0.2,98.6,0.1,-0.8,-0.2,-0.5,0.8,-0.4,0.7,0,-0.2,1.5,0,2.7,0.1,0.1
2019.01,94.8,-0.1,-1,-2.2,6.1,0.5,-0.8,-0.17,-0.1,1.5,-0.1,99,0.4,-1,0,2.6,1.3,0.3,1.1,0,0.2,0,0,-0.1,0.1,0
2019.02,95,1,1,-2.6,-2.5,-0.6,2,-0.14,-0.2,1.5,0,98.7,-0.3,-1.4,0.1,0.9,-0.8,-1.4,-1.6,0.1,-0.5,-0.5,-0.1,-2.1,0.1,0
2019.03,95.3,2.4,0.7,-0.8,11.3,-1.5,1.4,-0.01,0.1,1.6,0.1,98.8,0.1,0.1,0.2,0.8,0.8,-0.4,-2.5,0.3,0,-1.1,-0.2,1,0.2,0
2019.04,95.6,-0.4,1.8,1.4,-1.5,-1.4,1.7,-0.04,0,1.8,0.2,98.8,0,0.4,0.2,-2.1,-0.7,-0.8,0.1,0.2,-0.3,0.7,-0.2,-0.7,0.1,0
2019.05,95.7,-1.1,-1.1,0.8,-1.5,-0.8,-1.9,-0.05,-0.1,1.7,-0.1,99.3,0.5,1.5,0.6,1,1.3,0.2,-0.3,0.1,0.4,0.7,-0.2,4.4,0,0
2019.06,95.7,-1.7,-0.6,0.7,-17.2,0.3,-0.9,-0.1,-0.2,1.6,-0.1,99.5,0.2,0.4,-0.1,0.7,-0.8,0.2,1,0,0,0.7,0,-2.1,0,0
2019.07,95.8,-0.6,-1.9,-1.3,-10.1,0.2,-2.1,-0.08,-0.3,1.5,-0.1,99.7,0.2,0.5,0.1,0,-0.4,0,1.1,0,0.1,0.6,0,0,0.1,0
2019.08,95.9,1.5,-1,-0.7,-2.2,0.3,-2.3,-0.09,-0.1,1.6,0.1,100,0.3,0,0.3,-0.3,0.6,0.9,-0.1,0.1,0.1,0,0.1,0.5,0.2,-0.1
2019.09,96.3,-0.2,-0.3,-0.6,20.1,-0.3,-1,0.02,0.1,1.8,0.2,100.3,0.3,0.9,0.5,-1.5,0.2,0.6,-0.3,0.1,0.1,0.9,-0.2,2.3,0.1,-0.1
2019.1,96.8,0.2,0.4,1.8,19,0.1,-0.2,0.1,0.2,2.2,0.4,100.5,0.2,0,0.3,-0.2,0.5,-0.2,-0.4,0.2,0,0,-0.1,-0.6,0.3,-0.1
2019.11,97.4,0.9,1,0.1,9.5,-0.5,3,0.21,0.4,2.7,0.5,100.5,0,0.6,0,-2,0.2,-0.4,-0.7,0.2,-0.1,0.4,-0.1,-2.9,0.1,0
2019.12,98,4.6,0.3,3.7,-0.3,-0.5,1.6,0.12,0.3,3.2,0.5,101.1,0.6,0.6,0.4,1.4,1.5,0.3,0.1,0.3,0.4,-1.3,0,1.4,0.3,0
2020.01,98.3,0.1,1.4,-1,-6.7,-0.7,2.2,0.04,0,3.4,0.2,101.4,0.3,-0.3,1.1,1.3,-0.2,-0.6,0.8,0.2,0.2,-0.1,-0.1,-1.4,0.3,0
2020.02,98.6,-1,-1.4,0.5,4.4,0.6,0.6,-0.06,0,3.6,0.2,101,-0.4,-1.5,0.2,1.9,-1.9,-2.6,-0.6,0.2,-0.6,0.3,-0.2,-0.7,0.3,0
2020.03,98.4,-3.3,-8.7,-2.4,-8.5,2.1,-5.5,0.03,-0.5,3.2,-0.4,100.1,-0.9,-0.5,-2,0.1,-3.2,-1.5,2.9,-0.8,-1.1,0.8,-0.2,-2.9,-0.7,0
2020.04,98.5,-0.1,-11.9,2,-8.5,3.4,-5.7,0.1,-0.2,3.1,-0.1,99.2,-0.9,-0.9,-3.1,-1.1,-0.6,-0.6,3.1,-1.2,-1.1,0.3,-0.1,0.2,-1.2,0.1
2020.05,98.5,-2.7,-8.7,0.1,-0.5,1.4,-3.5,0.1,-0.3,2.9,-0.2,98.3,-0.9,-2,-1.9,-1,1.6,-0.8,-0.9,-1.1,-1.1,0.2,0,2.7,-1.1,0.1
2020.06,99.1,-1.5,-0.2,1,15.7,-0.5,6.2,0.12,0.3,3.2,0.3,98.5,0.2,-1.9,0.6,-1.4,3.2,-0.6,0.1,-0.1,0.1,0.4,0,0.9,-0.1,0
2020.07,99.7,0.7,5.1,-1.4,16.7,-1.5,5.8,0.03,0.2,3.5,0.3,98.8,0.3,0,1.3,-0.3,0.5,0.2,-2.2,0.3,0.1,-0.3,0,-0.1,0.3,-0.2
2020.08,100.5,2.3,6.5,-0.3,1.4,0,6.1,0.05,0.5,4,0.5,99.4,0.6,2.8,0.9,-1.3,-0.1,2.5,-3.7,0.3,0.3,-0.1,0,1.4,0.3,-0.2
2020.09,101.1,2.9,3,-0.7,-5.1,1.1,3.5,0.02,0.2,4.3,0.3,100,0.6,2.6,0.1,-0.3,-0.2,1.7,1.8,0.1,0.5,-0.4,0.1,0.9,0.1,-0.1
2020.1,101.7,2.8,3.9,-0.6,-1.1,0.6,2.3,0.03,0.3,4.7,0.4,100.6,0.6,1.9,0,-1.4,0.5,1.5,1.9,0,0.4,-0.9,-0.3,4.5,0.1,-0.1
2020.11,102.5,4.9,2.8,2.7,5,0.1,2.2,0.07,0.5,5.2,0.5,101.3,0.7,1.5,0.6,1.2,0,1.2,1.3,0.1,0.4,-2.2,0.1,1.9,0.1,-0.1
2020.12,103.1,-0.4,2.7,3.6,2.6,-0.6,5.3,0.03,0.3,5.6,0.4,101.4,0.1,0.3,0.4,0,-0.5,-0.1,1.3,-0.1,0,-1.3,0,2.4,0,0
2021.01,103.8,1.6,1.4,1.1,3,-1.1,9.6,0.05,0.3,5.9,0.3,101.4,0,0.7,-0.4,-1,1.3,-0.8,0.1,-0.5,-0.3,-0.4,0.6,0,-0.4,0
2021.02,104.3,1.8,1.6,0.9,-2.2,-1.3,7,0.02,0.2,6.1,0.2,101.7,0.3,1.6,0.2,-1,0.5,0.2,1.3,0,0.1,0.5,0.2,1.4,0,0
2021.03,104.9,1.9,5.3,-1.4,-1.4,-0.7,3.1,0.08,0.2,6.2,0.1,102.5,0.8,0.9,1.4,-0.9,1.1,-0.3,1.2,0.5,0.5,0.2,0.3,1.7,0.4,0
2021.04,105.6,1.4,4.2,4,-1.5,0.8,0.8,0.09,0.4,6.5,0.3,103.5,1,0.2,1.6,-0.1,0.4,0.4,2.4,1,0.8,-0.1,0.2,2.3,0.8,0
2021.05,106.4,3.2,3.1,2.2,-1,0.6,0.8,0.1,0.4,6.8,0.3,103.8,0.3,-0.9,1,-1.4,0.7,-0.8,1.4,0.4,0.1,-0.4,0.2,2.2,0.3,0
2021.06,107,2.2,2.7,2.7,-3.9,0,2.4,0.04,0.3,7,0.2,103.8,0,-0.6,0.3,-1.8,0.5,-0.1,-0.5,0.2,-0.2,-0.8,0.1,0,0.2,0
2021.07,107.2,-1.3,-0.5,-1.5,-2.6,-0.8,0.9,0.02,-0.1,6.7,-0.3,104,0.2,0.5,0,-1,0.6,-0.4,-0.1,0.1,-0.1,0.2,0.1,-0.4,0.2,0
2021.08,107.2,-6.2,0,-1.7,2.1,-0.5,0.1,-0.03,-0.3,6.2,-0.5,104.1,0.1,0.9,-0.2,0.1,0.1,-0.1,-0.9,0.1,-0.1,2.2,0.1,-2.6,0.2,0
2021.09,107.1,-6.6,-1.6,-2.8,0.1,-0.2,-1.2,-0.06,-0.5,5.5,-0.7,104.3,0.2,0.3,0.2,0.3,0.5,-0.7,-0.2,0.2,0,3.6,0.1,-0.6,0.2,0.1
2021.1,107,-6.4,0.6,-3.1,1.7,-1.3,-2.8,0.08,-0.3,4.8,-0.7,104.8,0.5,0.3,0.8,0.7,0.4,-0.4,1,0.2,0.2,3.5,0.4,-0.3,0.2,0.1
2021.11,107,-4.8,0.3,-1.4,-5.6,-1.3,-2.3,0.1,-0.4,4.1,-0.7,105.3,0.5,0.5,1.4,-1.1,0.2,0.1,1.2,0.2,0.2,1.5,0.1,3.1,0.2,0.1
2021.12,107.2,-0.9,0,2.2,0.4,-0.8,-1.7,-0.02,0,3.7,-0.4,106.2,0.9,2.1,0.8,2.8,-0.1,1.4,1.9,0,0.7,1.2,0.2,2.6,0.2,0.1
2022.01,107.6,1.1,0,3.1,5.3,-0.7,-1.4,-0.11,0,3.4,-0.3,107,0.8,2,0.6,2.2,-0.7,0.9,1.9,0.1,0.5,-0.4,-0.2,4,0.2,0.1
2022.02,107.7,0.3,-0.2,-0.7,2.8,-1.6,-2.7,-0.03,-0.2,3,-0.4,107.5,0.5,1,-0.2,0.8,0.1,0,0.5,0.6,0.2,0.2,0.2,2.2,0.6,0.1
2022.03,107.7,0,-0.3,-2,6.9,-2.2,-3.4,0.13,-0.2,2.6,-0.4,107.7,0.2,0.3,0.4,-2.4,-0.1,-0.5,0.1,0.6,0,-0.5,0.2,0.8,0.5,0
2022.04,108,-1.8,0,-1.9,-6.1,-0.6,-2,0.25,-0.1,2.3,-0.3,107.6,-0.1,-1,1,-2.8,0,-1.4,-1.9,0.6,-0.4,0.6,0.1,0,0.5,0.1
2022.05,108.5,-0.2,0.3,2.2,2.7,0,-1.2,0.15,0.1,2.4,0.1,107.8,0.2,-0.5,1.5,1.9,-0.4,-0.6,-0.9,0.1,0,-0.2,0.1,1.1,0.1,0.1
2022.06,108.9,-3.1,-0.3,2.7,3.3,0.6,-2.8,0.18,0.1,2.5,0.1,108,0.2,-0.7,1.1,0.9,-0.7,-0.4,0.4,0.1,0,1.6,0.3,-0.4,0.2,0.2
2022.07,109,-1.7,-2.7,1.7,6.2,0,-4.4,-0.17,-0.2,2.3,-0.2,108.5,0.5,-0.1,0.4,0.7,-0.3,0.7,2,0.1,0.2,1.7,0.3,1.6,0.1,0.3
2022.08,109.1,0.2,-2.5,2.3,-0.4,0,-2,-0.23,-0.2,2.1,-0.2,109.1,0.6,-0.7,0.6,-0.1,0.7,0.8,3.5,0,0.3,1.6,0.2,2.4,0,0.3
2022.09,109.3,4.7,-1.5,-0.4,2.4,-0.2,-1.9,-0.17,-0.1,2.1,0,109.3,0.2,-1.6,0.6,0.2,-0.1,-0.3,2.1,0,-0.1,-0.4,0.1,3,0,0.3
2022.1,109.5,4,-0.8,1,-16.8,-0.4,-1.8,0,0,2.1,0,109.3,0,-2.4,0.3,2.4,0.6,-0.9,0.9,0.1,-0.1,-0.5,0.1,0,0,0.5
2022.11,109.6,-1.4,-2.7,0.3,-9.7,-0.2,-0.9,-0.06,-0.3,2,-0.1,108.9,-0.4,-1.8,-0.2,1.1,-1.1,-1.2,-1.1,0,-0.6,0.9,0,-2.7,0,0.8
2022.12,109.4,-2.8,-2.2,1.9,-21.7,0.2,0.4,-0.35,-0.4,1.7,-0.3,108.4,-0.5,-2.4,0.3,1,-0.3,-1.1,-2.7,-0.1,-0.7,0.6,-0.1,-2.3,-0.1,0.8
2023.01 p),109.4,-5,-1.8,-3.6,32.2,-0.1,1.9,-0.39,-0.3,1.5,-0.2,108.2,-0.2,-0.6,0,1.1,-1.3,-0.2,-1.4,-0.1,-0.4,1.9,-0.1,-0.1,-0.1,0.3
2023.02 p),109.3,-0.9,0.1,-3.7,5.3,-0.6,0.5,-0.27,-0.3,1.3,-0.2,108.8,0.6,-1.4,0.9,3.2,1.2,-0.1,0.5,0.4,0.3,1.1,-0.1,0.1,0.2,-0.3
2023.03 p),109.3,-0.5,0,-5.1,-5.1,-0.2,0.8,-0.11,-0.3,1.2,-0.1,109.7,0.8,1.4,0.4,2.2,1.3,0.5,0.3,0.4,0.6,1.5,0,0.8,0.4,-0.5